tirage_id,date_tirage,numero_1,numero_2,numero_3,numero_4,numero_5,numero_chance
329,2023-02-27,5.0,37.0,14.0,6.0,2.0,1.0
330,2023-02-25,34.0,19.0,3.0,1.0,43.0,3.0
331,2023-02-22,37.0,35.0,3.0,24.0,31.0,4.0
332,2023-02-20,35.0,43.0,41.0,22.0,16.0,7.0
333,2023-02-18,12.0,24.0,1.0,13.0,5.0,9.0
334,2023-02-15,20.0,24.0,5.0,44.0,28.0,6.0
335,2023-02-13,20.0,8.0,33.0,27.0,35.0,2.0
336,2023-02-11,43.0,9.0,15.0,47.0,45.0,9.0
337,2023-02-08,44.0,24.0,16.0,21.0,34.0,7.0
338,2023-02-06,32.0,13.0,5.0,21.0,6.0,3.0
339,2023-02-04,42.0,26.0,31.0,13.0,16.0,2.0
340,2023-02-01,12.0,48.0,38.0,35.0,9.0,5.0
341,2023-01-30,35.0,27.0,8.0,30.0,34.0,5.0
342,2023-01-28,15.0,44.0,5.0,30.0,45.0,5.0
343,2023-01-25,32.0,26.0,44.0,18.0,21.0,10.0
344,2023-01-23,28.0,6.0,10.0,35.0,32.0,9.0
345,2023-01-21,41.0,4.0,45.0,18.0,24.0,6.0
346,2023-01-18,7.0,35.0,48.0,39.0,11.0,8.0
347,2023-01-16,5.0,31.0,10.0,19.0,28.0,4.0
348,2023-01-14,22.0,36.0,40.0,13.0,14.0,9.0
349,2023-01-11,8.0,16.0,17.0,3.0,47.0,9.0
350,2023-01-09,38.0,1.0,48.0,30.0,20.0,3.0
351,2023-01-07,8.0,43.0,7.0,21.0,34.0,6.0
352,2023-01-04,3.0,5.0,49.0,38.0,25.0,10.0
353,2023-01-02,49.0,39.0,45.0,41.0,1.0,5.0
354,2022-12-31,35.0,39.0,16.0,11.0,23.0,8.0
355,2022-12-28,29.0,1.0,3.0,35.0,8.0,8.0
356,2022-12-26,6.0,23.0,32.0,49.0,48.0,4.0
357,2022-12-24,12.0,41.0,47.0,46.0,6.0,6.0
358,2022-12-21,11.0,22.0,15.0,12.0,21.0,7.0
359,2022-12-19,43.0,35.0,6.0,31.0,36.0,4.0
360,2022-12-17,46.0,27.0,42.0,23.0,8.0,3.0
361,2022-12-14,15.0,37.0,4.0,20.0,6.0,10.0
362,2022-12-12,46.0,25.0,47.0,2.0,35.0,10.0
363,2022-12-10,6.0,43.0,29.0,13.0,27.0,2.0
364,2022-12-07,2.0,12.0,38.0,15.0,10.0,5.0
365,2022-12-05,36.0,45.0,9.0,24.0,17.0,7.0
366,2022-12-03,32.0,19.0,34.0,26.0,27.0,9.0
367,2022-11-30,44.0,18.0,28.0,49.0,30.0,5.0
368,2022-11-28,24.0,46.0,9.0,2.0,13.0,6.0
369,2022-11-26,5.0,7.0,28.0,23.0,2.0,5.0
370,2022-11-23,46.0,36.0,45.0,15.0,19.0,4.0
371,2022-11-21,45.0,33.0,47.0,15.0,23.0,7.0
372,2022-11-19,40.0,24.0,19.0,1.0,28.0,8.0
373,2022-11-16,1.0,8.0,48.0,38.0,3.0,1.0
374,2022-11-14,28.0,23.0,34.0,44.0,14.0,5.0
375,2022-11-12,14.0,44.0,34.0,25.0,4.0,7.0
376,2022-11-09,15.0,2.0,1.0,41.0,30.0,9.0
377,2022-11-07,24.0,8.0,9.0,40.0,31.0,7.0
378,2022-11-05,40.0,6.0,38.0,23.0,32.0,10.0
379,2022-11-02,45.0,7.0,38.0,4.0,26.0,2.0
380,2022-10-31,34.0,25.0,45.0,44.0,4.0,7.0
381,2022-10-29,33.0,28.0,48.0,44.0,26.0,4.0
382,2022-10-26,45.0,30.0,4.0,2.0,23.0,5.0
383,2022-10-24,43.0,28.0,33.0,37.0,29.0,1.0
384,2022-10-22,12.0,2.0,25.0,35.0,7.0,10.0
385,2022-10-19,35.0,16.0,38.0,46.0,25.0,8.0
386,2022-10-17,38.0,49.0,20.0,16.0,40.0,2.0
387,2022-10-15,31.0,16.0,27.0,24.0,46.0,1.0
388,2022-10-12,17.0,44.0,7.0,40.0,39.0,3.0
389,2022-10-10,19.0,40.0,32.0,13.0,46.0,7.0
390,2022-10-08,17.0,20.0,48.0,16.0,34.0,7.0
391,2022-10-05,32.0,23.0,39.0,35.0,14.0,7.0
392,2022-10-03,20.0,40.0,31.0,7.0,23.0,1.0
393,2022-10-01,8.0,7.0,35.0,36.0,26.0,2.0
394,2022-09-28,12.0,39.0,26.0,14.0,29.0,10.0
395,2022-09-26,29.0,49.0,35.0,18.0,39.0,1.0
396,2022-09-24,25.0,6.0,32.0,7.0,4.0,10.0
397,2022-09-21,3.0,12.0,22.0,9.0,37.0,10.0
398,2022-09-19,5.0,7.0,44.0,15.0,33.0,1.0
399,2022-09-17,12.0,17.0,1.0,20.0,3.0,3.0
400,2022-09-14,40.0,10.0,38.0,26.0,45.0,1.0
401,2022-09-12,4.0,49.0,20.0,7.0,21.0,10.0
402,2022-09-10,25.0,3.0,8.0,49.0,24.0,5.0
403,2022-09-07,20.0,35.0,30.0,3.0,29.0,9.0
404,2022-09-05,5.0,1.0,35.0,27.0,40.0,4.0
405,2022-09-03,35.0,24.0,44.0,38.0,32.0,6.0
406,2022-08-31,9.0,39.0,10.0,15.0,45.0,7.0
407,2022-08-29,5.0,10.0,28.0,34.0,22.0,4.0
408,2022-08-27,32.0,39.0,22.0,11.0,34.0,3.0
409,2022-08-24,39.0,42.0,36.0,27.0,22.0,10.0
410,2022-08-22,39.0,46.0,2.0,9.0,44.0,9.0
411,2022-08-20,21.0,38.0,17.0,1.0,46.0,2.0
412,2022-08-17,16.0,5.0,14.0,29.0,17.0,3.0
413,2022-08-15,34.0,4.0,48.0,42.0,22.0,3.0
414,2022-08-13,17.0,38.0,37.0,11.0,39.0,2.0
415,2022-08-10,15.0,35.0,11.0,28.0,9.0,2.0
